Company Name,Ticker,Market Cap (mil),Avg Volume,Industry,Sector
"Agilent Technologies","A","39271.95","1630189","Electronics - Testing Equipment","Computer and Technology"
"Alcoa","AA","11569.13","4911706","Metal Products - Distribution","Industrial Products"
"AAC Technologies","AACAY","4913.85","52830","Electronics - Miscellaneous Components","Computer and Technology"
"ATA","AACG","33.24","72724","Schools","Consumer Discretionary"
"Aadi Bioscience","AADI","52.38","88861","Medical - Biomedical and Genetics","Medical"
"AIA","AAGIY","85597.95","422554","Insurance - Life Insurance","Finance"
"African Agriculture Holdings Inc.","AAGR","0","43932","Agriculture - Operations","Consumer Staples"
"American Airlines","AAL","9074.98","31583564","Transportation - Airline","Transportation"
"Altisource Asset Management","AAMCF","3.19","1844","Financial - Investment Management","Finance"
"Atlantic American","AAME","34.53","4244","Insurance - Accident and Health","Finance"
"Applied Optoelectronics","AAOI","1251.37","3682340","Electronics - Semiconductors","Computer and Technology"
"AAON","AAON","11236.1","425872","Building Products - Air Conditioner and Heating","Construction"
"Advance Auto Parts","AAP","2261.66","2541013","Automotive - Retail and Wholesale - Parts","Retail-Wholesale"
"AAP","AAPJ",".65","107261704","Communication - Components","Computer and Technology"
"Apple","AAPL","3430687.25","43587320","Computer - Micro Computers","Computer and Technology"
"American Assets Trust","AAT","1701.59","204266","REIT and Equity Trust - Retail","Finance"
"Autoscope Technologies","AATC","43.3","8004","Technology Services","Business Services"
"Advantage Oil & Gas","AAVVF","1074.46","48533","Alternative Energy - Other","Oils-Energy"
"Ascend Wellness Holdings, Inc.","AAWH","128.6","118654","Medical Services","Medical"
"AllianceBernstein","AB","4227.66","332424","Financial - Investment Management","Finance"
"American Battery Technology Company","ABAT","72.83","328007","Electronics - Miscellaneous Products","Computer and Technology"
"ABB","ABBNY","106241.11","167684","Manufacturing - Electronics","Industrial Products"
"AbbVie","ABBV","352544.5","5485107","Large Cap Pharmaceuticals","Medical"
"Ameris Bancorp","ABCB","4813.97","402735","Banks - Southeast","Finance"
"AbCellera Biologics","ABCL","797.49","2079409","Medical - Biomedical and Genetics","Medical"
"AmBase","ABCP","13.96","51107","Financial - Investment Management","Finance"
"Abeona Therapeutics","ABEO","277.21","212820","Medical - Biomedical and Genetics","Medical"
"Ambev","ABEV","34185.82","19432660","Beverages - Alcohol","Consumer Staples"
"Asbury Automotive Group","ABG","5101.55","217995","Automotive - Retail and Whole Sales","Retail-Wholesale"
"Abacus Life, Inc.","ABL","673.35","59872","Insurance - Life Insurance","Finance"
"American Biltrite","ABLT","4.53","0","Building Products - Miscellaneous","Construction"
"Able View Global Inc.","ABLV","38.12","11481","Business - Services","Business Services"
"ABM Industries","ABM","3624.94","393761","Building Products - Maintenance Service","Business Services"
"Advanced Biomedical Technologies","ABMT",".04","0","Medical - Instruments","Medical"
"Airbnb","ABNB","86368.94","4566717","Leisure and Recreation Services","Consumer Discretionary"
"Acumen Pharmaceuticals","ABOS","196.46","221993","Medical - Biomedical and Genetics","Medical"
"Arbor Realty Trust","ABR","2929.09","2136007","REIT and Equity Trust","Finance"
"Absci Corporation","ABSI","462.17","901465","Medical - Biomedical and Genetics","Medical"
"Abbott Laboratories","ABT","202220.13","5593701","Medical - Products","Medical"
"ABITS GROUP","ABTS","20.98","203774","Advertising and Marketing","Business Services"
"Arbutus Biopharma","ABUS","710.59","906982","Medical - Biomedical and Genetics","Medical"
"ABVC BioPharma","ABVC","6.54","313814","Medical - Biomedical and Genetics","Medical"
"Above Food Ingredients Inc.","ABVE","3.6","60990","Food - Miscellaneous","Consumer Staples"
"Abivax SA Sponsored ADR","ABVX","662.7","149142","Medical - Biomedical and Genetics","Medical"
"Associated Capital Group","AC","772.55","11206","Financial - Investment Management","Finance"
"Arcosa","ACA","5156.69","262670","Building Products - Miscellaneous","Construction"
"ACADIA Pharmaceuticals","ACAD","2938.48","1351494","Medical - Biomedical and Genetics","Medical"
"Safeplus International Holdings Limited","ACAI","0","5","Medical - Products","Medical"
"Aurora Cannabis","ACB","264.34","1239099","Medical - Products","Medical"
"Accolade","ACCD","286.71","1298909","Technology Services","Business Services"
"Acco Brands","ACCO","559.14","668575","Office Supplies","Industrial Products"
"ProFrac Holding Corp.","ACDC","1116.22","673642","Alternative Energy - Other","Oils-Energy"
"Air Canada","ACDVF","5814.76","322535","Transportation - Airline","Transportation"
"Accel Entertainment","ACEL","975.77","197333","Gaming","Consumer Discretionary"
"Adicet Bio","ACET","107.94","302095","Medical - Biomedical and Genetics","Medical"
"Acorn Energy","ACFN","42.18","6872","Electronics - Miscellaneous Products","Computer and Technology"
"Agri Bank China","ACGBY","176391.45","12077","Banks - Foreign","Finance"
"Arch Capital Group","ACGL","38320.23","2166793","Insurance - Property and Casualty","Finance"
