Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2010-01-04,190.0,190.0,190.0,180.0,190.0,29,QUBT
2010-01-05,220.0,220.0,220.0,190.0,190.0,212,QUBT
2010-01-06,194.0,194.0,220.0,190.0,220.0,99,QUBT
2010-01-07,200.0,200.0,200.0,190.0,194.0,137,QUBT
2010-01-08,190.0,190.0,200.0,190.0,200.0,70,QUBT
2010-01-11,194.0,194.0,200.0,194.0,194.0,37,QUBT
2010-01-12,200.0,200.0,200.0,190.0,200.0,56,QUBT
2010-01-13,190.0,190.0,204.0,190.0,190.0,229,QUBT
2010-01-14,200.0,200.0,200.0,194.0,200.0,139,QUBT
2010-01-15,198.0,198.0,200.0,194.0,198.0,115,QUBT
2010-01-19,206.0,206.0,220.0,200.0,200.0,339,QUBT
2010-01-20,218.0,218.0,220.0,210.0,220.0,162,QUBT
2010-01-21,224.0,224.0,230.0,214.0,220.0,561,QUBT
2010-01-22,238.0,238.0,238.0,220.0,224.0,376,QUBT
2010-01-25,230.0,230.0,240.0,210.0,240.0,80,QUBT
2010-01-26,220.0,220.0,236.0,202.0,230.0,186,QUBT
2010-01-27,220.0,220.0,228.0,206.0,210.0,18,QUBT
2010-01-28,202.0,202.0,220.0,196.0,206.0,207,QUBT
2010-01-29,220.0,220.0,220.0,210.0,210.0,25,QUBT
2010-02-01,220.0,220.0,230.0,200.0,230.0,95,QUBT
2010-02-02,204.0,204.0,230.0,202.0,220.0,137,QUBT
2010-02-03,210.0,210.0,240.0,204.0,240.0,210,QUBT
2010-02-04,210.0,210.0,232.0,204.0,228.0,1142,QUBT
2010-02-05,192.0,192.0,210.0,190.0,210.0,276,QUBT
2010-02-08,192.0,192.0,210.0,192.0,204.0,184,QUBT
2010-02-09,200.0,200.0,200.0,190.0,190.0,62,QUBT
2010-02-10,170.0,170.0,200.0,170.0,200.0,154,QUBT
2010-02-11,180.0,180.0,190.0,170.0,190.0,187,QUBT
2010-02-12,160.0,160.0,188.0,140.0,188.0,385,QUBT
2010-02-16,150.0,150.0,150.0,120.0,120.0,150,QUBT
2010-02-17,178.0,178.0,178.0,154.0,154.0,2,QUBT
2010-02-18,178.0,178.0,180.0,122.0,180.0,11,QUBT
2010-02-19,170.0,170.0,180.0,130.0,180.0,54,QUBT
2010-02-22,160.0,160.0,160.0,130.0,130.0,10,QUBT
2010-02-23,160.0,160.0,160.0,130.0,130.0,24,QUBT
2010-02-24,160.0,160.0,160.0,130.0,130.0,8,QUBT
2010-02-25,160.0,160.0,160.0,160.0,160.0,5,QUBT
2010-02-26,160.0,160.0,160.0,130.0,160.0,29,QUBT
2010-03-01,160.0,160.0,160.0,160.0,160.0,1,QUBT
2010-03-02,134.0,134.0,134.0,130.0,130.0,105,QUBT
2010-03-03,138.0,138.0,150.0,132.0,132.0,106,QUBT
2010-03-04,130.0,130.0,144.0,130.0,144.0,180,QUBT
2010-03-05,160.0,160.0,160.0,129.0,130.0,242,QUBT
2010-03-08,160.0,160.0,164.0,14.399999618530272,14.399999618530272,51,QUBT
2010-03-09,142.0,142.0,164.0,142.0,164.0,45,QUBT
2010-03-10,150.0,150.0,160.0,142.0,158.0,119,QUBT
2010-03-11,158.0,158.0,164.0,16.0,164.0,306,QUBT
2010-03-12,160.0,160.0,160.0,120.0,120.0,66,QUBT
2010-03-15,150.0,150.0,160.0,150.0,158.0,69,QUBT
2010-03-16,146.0,146.0,146.0,142.0,144.0,119,QUBT
2010-03-17,148.0,148.0,148.0,144.0,144.0,118,QUBT
2010-03-18,144.0,144.0,148.0,122.0,148.0,51,QUBT
2010-03-19,140.0,140.0,140.0,122.0,122.0,93,QUBT
2010-03-22,132.0,132.0,146.0,130.0,146.0,105,QUBT
2010-03-23,130.0,130.0,136.0,130.0,133.0,223,QUBT
2010-03-24,123.0,123.0,123.0,122.0,122.0,23,QUBT
2010-03-25,120.0,120.0,138.0,120.0,123.0,227,QUBT
2010-03-26,96.0,96.0,96.0,96.0,96.0,1,QUBT
2010-03-29,130.0,130.0,130.0,96.0,96.0,6,QUBT
2010-03-30,128.0,128.0,138.0,100.0,138.0,71,QUBT
2010-03-31,102.0,102.0,130.0,100.0,130.0,206,QUBT
2010-04-01,100.0,100.0,108.0,80.0,100.0,195,QUBT
2010-04-05,100.0,100.0,108.0,100.0,108.0,24,QUBT
2010-04-06,100.0,100.0,104.0,100.0,100.0,111,QUBT
2010-04-07,100.0,100.0,120.0,100.0,120.0,46,QUBT
2010-04-08,70.19999694824219,70.19999694824219,114.0,56.0,56.0,129,QUBT
2010-04-09,80.0,80.0,90.0,80.0,90.0,275,QUBT
2010-04-12,70.0,70.0,80.0,70.0,80.0,250,QUBT
2010-04-13,63.0,63.0,100.0,62.0,62.0,91,QUBT
2010-04-14,70.0,70.0,80.0,62.0,62.0,97,QUBT
2010-04-15,65.0,65.0,80.0,65.0,80.0,38,QUBT
2010-04-16,60.0,60.0,120.0,60.0,120.0,45,QUBT
2010-04-19,70.0,70.0,120.0,60.0,120.0,64,QUBT
2010-04-20,60.0,60.0,80.0,60.0,80.0,114,QUBT
2010-04-21,60.0,60.0,70.0,60.0,70.0,235,QUBT
2010-04-22,76.0,76.0,76.0,60.0,60.0,22,QUBT
2010-04-23,64.0,64.0,78.0,60.0,60.0,163,QUBT
2010-04-26,60.0,60.0,76.0,60.0,60.0,61,QUBT
2010-04-27,60.0,60.0,70.0,60.0,60.0,169,QUBT
2010-04-28,56.0,56.0,60.0,50.0,60.0,178,QUBT
2010-04-29,50.0,50.0,60.0,50.0,58.0,162,QUBT
2010-04-30,60.0,60.0,60.0,58.0,60.0,148,QUBT
2010-05-03,66.0,66.0,70.0,50.0,70.0,102,QUBT
2010-05-04,50.0,50.0,66.0,50.0,66.0,88,QUBT
2010-05-05,56.0,56.0,70.0,56.0,70.0,55,QUBT
2010-05-06,66.0,66.0,66.0,40.0,56.0,314,QUBT
2010-05-07,56.0,56.0,70.0,40.0,70.0,28,QUBT
2010-05-10,50.0,50.0,56.0,40.0,56.0,35,QUBT
2010-05-11,44.0,44.0,56.0,30.0,56.0,260,QUBT
2010-05-12,50.0,50.0,60.0,36.0,60.0,125,QUBT
2010-05-13,45.0,45.0,50.0,32.0,32.0,280,QUBT
2010-05-14,44.0,44.0,50.0,44.0,50.0,56,QUBT
2010-05-17,46.0,46.0,50.0,46.0,46.0,87,QUBT
2010-05-18,52.0,52.0,52.0,38.0,52.0,88,QUBT
2010-05-19,46.0,46.0,52.0,39.0,52.0,238,QUBT
2010-05-20,46.0,46.0,50.0,32.0,38.0,121,QUBT
2010-05-21,34.0,34.0,48.0,32.0,48.0,458,QUBT
2010-05-24,40.0,40.0,40.0,32.0,40.0,111,QUBT
2010-05-25,30.0,30.0,36.0,24.0,32.0,548,QUBT
2010-05-26,26.0,26.0,30.0,26.0,30.0,242,QUBT
2010-05-27,40.0,40.0,40.0,20.0,26.0,454,QUBT
2010-05-28,34.0,34.0,34.0,30.0,30.0,235,QUBT
2010-06-01,31.399999618530277,31.399999618530277,34.0,22.0,34.0,207,QUBT
2010-06-02,30.0,30.0,30.0,24.0,30.0,170,QUBT
2010-06-03,30.0,30.0,32.0,30.0,32.0,375,QUBT
2010-06-04,30.0,30.0,32.0,24.0,32.0,37,QUBT
2010-06-07,24.0,24.0,30.0,24.0,30.0,208,QUBT
2010-06-08,26.0,26.0,30.0,26.0,30.0,75,QUBT
2010-06-09,30.0,30.0,30.0,20.0,20.0,18,QUBT
2010-06-10,30.0,30.0,30.0,30.0,30.0,120,QUBT
2010-06-11,24.0,24.0,30.0,22.0,30.0,532,QUBT
2010-06-14,32.0,32.0,32.0,32.0,32.0,26,QUBT
2010-06-15,30.0,30.0,30.0,30.0,30.0,150,QUBT
2010-06-16,30.0,30.0,30.0,30.0,30.0,20,QUBT
2010-06-17,24.0,24.0,32.0,24.0,30.0,217,QUBT
2010-06-18,22.0,22.0,26.0,22.0,26.0,397,QUBT
2010-06-21,20.0,20.0,24.0,20.0,24.0,108,QUBT
2010-06-22,25.0,25.0,25.0,10.0,20.0,692,QUBT
2010-06-23,25.0,25.0,25.0,25.0,25.0,0,QUBT
2010-06-24,24.0,24.0,26.0,24.0,24.0,55,QUBT
2010-06-25,20.0,20.0,24.0,16.0,16.0,119,QUBT
2010-06-28,22.0,22.0,30.0,20.0,20.0,107,QUBT
2010-06-29,22.0,22.0,22.0,12.0,20.0,97,QUBT
2010-06-30,22.0,22.0,22.0,20.0,20.0,205,QUBT
2010-07-01,10.0,10.0,16.0,10.0,16.0,140,QUBT
2010-07-02,16.0,16.0,20.0,14.0,16.0,492,QUBT
2010-07-06,14.0,14.0,20.0,14.0,20.0,123,QUBT
2010-07-07,20.0,20.0,20.0,14.0,20.0,467,QUBT
2010-07-08,14.0,14.0,16.0,12.0,16.0,820,QUBT
2010-07-09,14.0,14.0,15.0,14.0,14.0,292,QUBT
2010-07-12,12.0,12.0,14.0,12.0,14.0,173,QUBT
2010-07-13,14.0,14.0,14.0,12.0,14.0,128,QUBT
