Ticker,Weight
A,5.1975406229618075e-18
AAPL,0.0
ABBV,0.0
ABT,1.2740925198163956e-17
ACGL,0.0
ACN,0.0
ADBE,0.0
ADI,0.0
ADM,1.0767030058867518e-17
ADP,1.5490936248944798e-17
ADSK,9.027999819980596e-19
AEE,1.6144268153935038e-18
AEP,2.694279074596904e-18
AES,0.0
AFL,4.435731426584265e-18
AIG,0.0
AIZ,0.0
AJG,6.536637081197509e-18
AKAM,4.060262088164872e-18
ALB,1.9166383047276167e-17
ALGN,0.0
ALL,0.0
ALLE,0.0
AMAT,1.322148764672899e-17
AMCR,0.35566457759805203
AMD,0.0
AME,2.4696971917341856e-17
AMGN,1.8733393738395946e-17
AMP,2.615826387353988e-18
AMT,0.0
AMZN,4.316221970044161e-18
ANET,0.0030300186792596713
ANSS,0.0
AON,0.0
AOS,1.6598161317914455e-17
APA,2.093718643719937e-17
APD,3.9554850460757714e-18
APH,1.0527225114243233e-17
APO,1.3858040795900158e-17
APTV,0.0
ARE,2.3105221341585922e-18
ATO,1.7716145718399675e-17
AVB,1.828696702507783e-17
AVGO,0.0
AVY,0.0
AWK,0.04148948753490644
AXON,0.0
AXP,0.0
AZO,8.181966074884325e-18
BA,0.0
BAC,2.3224676059828766e-17
BALL,1.4296878178407092e-17
BAX,0.0
BBY,1.6396156239612994e-18
BDX,0.0
BEN,0.0
BG,0.025553177187275424
BIIB,0.0
BK,0.0
BKNG,7.3131041135181e-18
BKR,9.566437649506809e-18
BLDR,6.00729355036017e-19
BLK,0.0
BMY,4.3573833023260834e-18
BR,0.0
BRO,0.0
BSX,1.4978190243118775e-17
BWA,6.3695860182927356e-18
BX,0.0
BXP,0.0
C,1.1805083144115467e-17
CAG,3.0559300229579593e-18
CAH,2.155091355906958e-18
CAT,0.0
CB,4.854586910178685e-19
CBOE,0.08850218704486229
CBRE,8.804820729673939e-18
CCI,2.908645903833891e-17
CCL,0.0
CDNS,1.281561305675502e-17
CDW,0.0
CE,0.0
CF,0.0
CFG,4.09709976667982e-17
CHD,5.297751217402007e-18
CHRW,1.3689578800711932e-17
CHTR,0.0
CI,4.704086748247911e-18
CINF,0.0
CL,0.0
CLX,0.0
CMCSA,0.0
CME,0.0
CMG,0.021962035904521962
CMI,0.0
CMS,4.2348201787988103e-19
CNC,0.0
CNP,2.7847317065211553e-18
COF,2.1281333389542118e-17
COO,0.016903853948945963
COP,0.0
COR,0.040138445885422876
COST,3.0495283766632004e-18
CPAY,1.2147821710388994e-17
CPB,1.4641263213633598e-17
CPRT,0.014085113334943165
CPT,0.0
CRL,8.878481916433278e-18
CRM,0.0
CSCO,2.0213052576502478e-17
CSGP,2.2506994394012824e-17
CSX,0.0
CTAS,1.2987574121956088e-17
CTRA,0.0
CTSH,0.0
CVS,7.328908990826723e-18
CVX,0.0
CZR,0.017460717659114697
D,1.574679459240808e-17
DAL,0.0
DD,0.0
DE,0.0
DECK,2.2837202409224682e-17
DFS,1.8727649073246235e-17
DG,2.7696671203818253e-17
DGX,9.152694721978368e-18
DHI,0.0
DHR,0.0
DIS,0.0
DLR,1.5393500036950936e-17
DLTR,0.0
DOC,1.4847803538925805e-17
DOV,0.0
DPZ,0.0
DRI,5.761428282524535e-18
DTE,7.014430228227893e-18
DUK,0.0
DVA,2.209884743406001e-17
DVN,0.0
DXCM,1.0346025858991406e-17
EA,0.0
EBAY,0.0
ECL,4.191101496235312e-18
ED,0.0
EFX,1.1607900737473145e-18
EG,2.5021443340405165e-18
EIX,1.0789244115214163e-17
EL,3.689916502402142e-18
ELV,0.0
EMN,1.469267272891256e-18
EMR,3.601760702313562e-18
ENPH,5.2811576916926546e-18
EOG,7.043894571029668e-18
EPAM,0.0
EQIX,0.0
EQR,0.0
EQT,0.0
ERIE,0.0
ES,0.0
ESS,2.2686073128357774e-17
ETN,0.0
ETR,1.3401474963240773e-17
EVRG,0.0
EW,1.0133919806486638e-18
EXC,2.1199054705484206e-17
EXPD,2.19968574505632e-18
EXPE,0.0
EXR,3.4101213943620064e-18
F,0.0
FANG,5.0524495238333075e-18
FAST,0.0
FCX,0.0
FDS,2.2501711413606942e-18
FDX,0.0
FE,0.0
FFIV,0.0
FI,0.0
FICO,0.0
FIS,0.0
FITB,1.712106585225413e-17
FMC,3.3799584314016386e-18
FRT,1.7369392586787743e-18
FSLR,0.0
FTNT,0.0
GD,0.0
GE,9.690263631812436e-21
GEN,3.618606226261305e-18
GILD,2.466854980039712e-17
GIS,0.0
GL,8.973940145810455e-20
GLW,9.942390273577439e-18
GM,1.0861054880010858e-17
GNRC,7.330976058731784e-18
GOOG,0.0
GOOGL,1.7365585590752717e-18
GPC,0.0
GPN,1.1437854235742617e-17
GRMN,0.0
GS,1.0858923562745671e-17
GWW,2.4266401781654833e-17
HAL,0.0
HAS,0.0
HBAN,6.569085337378635e-18
HCA,0.004233810995471916
HD,0.0
HES,6.371140615265133e-20
HIG,0.0
HII,0.0
HLT,6.292120286187053e-18
HOLX,0.0
HON,0.0
HPQ,3.026700640389756e-19
HRL,6.626418394675773e-18
HSIC,8.237156763659922e-19
HST,0.0
HSY,4.7053545000272345e-18
HUBB,1.2245285778446672e-17
HUM,0.0
IBM,0.0
ICE,0.0
IDXX,4.3269997592743125e-18
IEX,1.9131938974465653e-18
IFF,3.897107779853598e-18
INCY,2.7377028170564504e-17
INTC,2.3598555907145485e-19
INTU,0.0
IP,0.0
IPG,8.27401391175247e-18
IQV,0.0
IRM,6.1191870074988925e-18
ISRG,1.0098905481029665e-17
IT,0.0
ITW,9.736431836003628e-19
IVZ,0.0
J,0.0
JBHT,0.0
JBL,0.0
JCI,0.0
JKHY,0.0
JNJ,0.0
JNPR,8.502415913960537e-18
JPM,1.6259123532674298e-17
K,1.655792383796065e-17
KDP,1.56274834276465e-17
KEY,0.0
KEYS,8.430130272975246e-18
KIM,0.0
KKR,0.0
KLAC,1.1763928591759227e-17
KMB,0.0
KMI,1.278248876596815e-17
KMX,6.3895468839724776e-18
KO,0.0
KR,0.0
L,0.0
LDOS,0.0
LEN,5.564323635396098e-18
LH,0.0
LHX,0.0
LII,0.0
LIN,3.150134869896215e-17
LKQ,0.0
