sector,top_emerging
Aerospace,"['space', 'space', 'aircraft', 'space', 'space']"
Computer and Technology,"['learning', 'learning', 'reality', 'computing', 'neural networks']"
Construction,"['design', 'construction', 'software', 'construction', 'construction']"
Energy,"['distributed', 'cell', 'fuel', 'thermal', 'fuel']"
Finance,"['regulatory', 'financial', 'cryptocurrency', 'blockchain', 'payment']"
Medical,"['genomics', 'medical', 'monitoring', 'healthcare', 'medical']"
Oils-Energy,"['environmental', 'environmental', 'environmental', 'modernization', 'modernization']"
Retail-Wholesale,"['health', 'health', 'retail', 'retail', 'health']"
Transportation,"['transport', 'transport', 'transport', 'transport', 'supply']"
Utilities,"['energy', 'energy', 'utilities', 'solar', 'solar']"
